Date,"all-projects"
2016-01-01,476830106
2016-01-02,530295702
2016-01-03,551526097
2016-01-04,559951515
2016-01-05,549285813
2016-01-06,550546371
2016-01-07,545598822
2016-01-08,531576269
2016-01-09,519545091
2016-01-10,572418860
2016-01-11,620262579
2016-01-12,580671487
2016-01-13,563116276
2016-01-14,565535543
2016-01-15,536875389
2016-01-16,519402302
2016-01-17,565728276
2016-01-18,580941994
2016-01-19,582105625
2016-01-20,568323387
2016-01-21,564299456
2016-01-22,544477321
2016-01-23,524247133
2016-01-24,573488633
2016-01-25,587948761
2016-01-26,575239097
2016-01-27,574172629
2016-01-28,558328841
2016-01-29,529332290
2016-01-30,512730833
2016-01-31,566438146
2016-02-01,578218919
2016-02-02,567425669
2016-02-03,569999832
2016-02-04,550838184
2016-02-05,522127389
2016-02-06,495705016
2016-02-07,541924088
2016-02-08,577120147
2016-02-09,560754347
2016-02-10,562643374
2016-02-11,550187399
2016-02-12,528307560
2016-02-13,510479458
2016-02-14,555714758
2016-02-15,575207697
2016-02-16,582149397
2016-02-17,566906443
2016-02-18,553140401
2016-02-19,529436381
2016-02-20,513277927
2016-02-21,561534903
2016-02-22,581987075
2016-02-23,568940555
2016-02-24,561630152
2016-02-25,549996137
2016-02-26,517336860
2016-02-27,498923580
2016-02-28,558829159
2016-02-29,610869339
2016-03-01,565876770
2016-03-02,560424141
2016-03-03,555907374
2016-03-04,525404473
2016-03-05,507628969
2016-03-06,561570169
2016-03-07,574598469
2016-03-08,554351023
2016-03-09,555663947
2016-03-10,537813925
2016-03-11,509938625
2016-03-12,483914351
2016-03-13,538274170
2016-03-14,563574109
2016-03-15,548720743
2016-03-16,547281512
2016-03-17,532960740
2016-03-18,498060082
2016-03-19,474766422
2016-03-20,524033023
2016-03-21,539215356
2016-03-22,518674049
2016-03-23,507164760
2016-03-24,497628867
2016-03-25,498789531
2016-03-26,482005424
2016-03-27,524502304
2016-03-28,562654799
2016-03-29,553523850
2016-03-30,539710162
2016-03-31,527937586
2016-04-01,501134033
2016-04-02,480152681
2016-04-03,529671278
2016-04-04,557295173
2016-04-05,549972905
2016-04-06,551705650
2016-04-07,540985007
2016-04-08,511637272
2016-04-09,490529004
2016-04-10,542278326
2016-04-11,563267474
2016-04-12,550496143
2016-04-13,543691074
2016-04-14,539021279
2016-04-15,508501229
2016-04-16,478643837
2016-04-17,529452180
2016-04-18,558126270
2016-04-19,553341392
2016-04-20,542625653
2016-04-21,551985629
2016-04-22,524275054
2016-04-23,496505567
2016-04-24,546686775
2016-04-25,566208069
2016-04-26,552483816
2016-04-27,548018461
2016-04-28,536008822
2016-04-29,493216376
2016-04-30,464959094
2016-05-01,513789685
2016-05-02,543790085
2016-05-03,548823748
2016-05-04,535882691
2016-05-05,522350711
2016-05-06,506448508
2016-05-07,470067230
2016-05-08,511677491
2016-05-09,552587524
2016-05-10,552628681
2016-05-11,539817940
2016-05-12,534668251
2016-05-13,501286138
2016-05-14,483800225
2016-05-15,537444031
2016-05-16,560656874
2016-05-17,550110697
2016-05-18,547906895
2016-05-19,537367026
2016-05-20,499711146
2016-05-21,483164029
2016-05-22,531437539
2016-05-23,561006727
2016-05-24,545929857
2016-05-25,525284803
2016-05-26,513233402
2016-05-27,486788694
2016-05-28,465861371
2016-05-29,513408337
2016-05-30,543740286
2016-05-31,535573520
2016-06-01,530731860
2016-06-02,522898766
2016-06-03,496195170
2016-06-04,480681064
2016-06-05,523784619
2016-06-06,541319593
2016-06-07,528338557
2016-06-08,518763297
2016-06-09,512043124
2016-06-10,489754508
2016-06-11,473945684
2016-06-12,522409752
2016-06-13,552655848
2016-06-14,544656273
2016-06-15,531205849
2016-06-16,526030374
2016-06-17,487022366
2016-06-18,460554721
2016-06-19,503820558
2016-06-20,531590965
2016-06-21,515774772
2016-06-22,508393568
2016-06-23,494217515
2016-06-24,476572357
2016-06-25,459674236
2016-06-26,500389019
2016-06-27,524054292
2016-06-28,512969622
2016-06-29,497064509
2016-06-30,485091788
2016-07-01,475454270
2016-07-02,451988446
2016-07-03,483446078
2016-07-04,499061761
2016-07-05,503641521
2016-07-06,497726989
2016-07-07,480614139
2016-07-08,457491473
2016-07-09,444447504
2016-07-10,490601487
2016-07-11,510493320
2016-07-12,496602582
2016-07-13,487513809
2016-07-14,482607608
2016-07-15,463031360
2016-07-16,439381393
2016-07-17,475145114
2016-07-18,497496445
2016-07-19,490669678
2016-07-20,496610226
2016-07-21,510368469
2016-07-22,508032692
2016-07-23,487415757
2016-07-24,531090413
2016-07-25,552071163
2016-07-26,556125874
2016-07-27,545537682
2016-07-28,537070791
2016-07-29,515906959
2016-07-30,493045730
2016-07-31,535393302
2016-08-01,557493225
2016-08-02,554642871
2016-08-03,534715325
2016-08-04,518790486
2016-08-05,508980900
2016-08-06,492634175
2016-08-07,520103138
2016-08-08,557720249
2016-08-09,551431204
2016-08-10,552390593
2016-08-11,544366824
2016-08-12,534788951
2016-08-13,502499698
2016-08-14,535665550
2016-08-15,570570642
2016-08-16,554840380
2016-08-17,505099392
2016-08-18,502093817
2016-08-19,491303314
2016-08-20,470255708
2016-08-21,522502626
2016-08-22,543514481
2016-08-23,528377339
2016-08-24,522304541
2016-08-25,510227889
2016-08-26,489628743
2016-08-27,465977253
2016-08-28,511302080
2016-08-29,550041307
2016-08-30,542259900
2016-08-31,528436680
2016-09-01,508410486
2016-09-02,492002649
2016-09-03,470665410
2016-09-04,516466948
2016-09-05,541108058
2016-09-06,539263193
2016-09-07,525287552
2016-09-08,517572333
2016-09-09,491375353
2016-09-10,475736797
2016-09-11,527519525
2016-09-12,541146998
2016-09-13,548232375
2016-09-14,531478052
2016-09-15,526477734
2016-09-16,487758968
2016-09-17,472201783
2016-09-18,527426067
2016-09-19,559374456
2016-09-20,542631172
2016-09-21,535554393
2016-09-22,539278856
2016-09-23,504565673
2016-09-24,469255008
2016-09-25,518399605
2016-09-26,558379555
2016-09-27,540739809
2016-09-28,543299998
2016-09-29,526264059
2016-09-30,486965447
2016-10-01,474056434
2016-10-02,525559174
2016-10-03,558037548
2016-10-04,549975864
2016-10-05,551943115
2016-10-06,543618739
2016-10-07,499840198
2016-10-08,497107314
2016-10-09,545152313
2016-10-10,566910864
2016-10-11,552557806
2016-10-12,547711986
2016-10-13,543572552
2016-10-14,516729682
2016-10-15,496053746
2016-10-16,552110168
2016-10-17,574935980
2016-10-18,569393901
2016-10-19,559216091
2016-10-20,540354230
2016-10-21,517960443
2016-10-22,497132802
2016-10-23,543534752
2016-10-24,567540625
2016-10-25,559198853
2016-10-26,544178481
2016-10-27,535376677
2016-10-28,497095594
2016-10-29,471094044
2016-10-30,527944942
2016-10-31,547698240
2016-11-01,548351187
2016-11-02,554651843
2016-11-03,556170894
2016-11-04,529639898
2016-11-05,516053685
2016-11-06,571046529
2016-11-07,584171378
2016-11-08,586056158
2016-11-09,606117898
2016-11-10,571595987
2016-11-11,552468915
2016-11-12,529357053
2016-11-13,584066692
2016-11-14,603750159
2016-11-15,586829203
2016-11-16,579484697
2016-11-17,567161789
2016-11-18,539580204
2016-11-19,513922927
2016-11-20,569250488
2016-11-21,589038538
2016-11-22,575085529
2016-11-23,560698174
2016-11-24,538740846
2016-11-25,510454313
2016-11-26,520434673
2016-11-27,575440359
2016-11-28,587056422
2016-11-29,590941342
2016-11-30,562320278
2016-12-01,541952039
2016-12-02,516363095
2016-12-03,509165412
2016-12-04,569164272
2016-12-05,579512614
2016-12-06,574270178
2016-12-07,564863475
2016-12-08,554930801
2016-12-09,525764646
2016-12-10,502754584
2016-12-11,549126290
2016-12-12,561756343
2016-12-13,549060478
2016-12-14,546640986
2016-12-15,520718920
2016-12-16,483027065
2016-12-17,475277097
2016-12-18,542642911
2016-12-19,571007354
2016-12-20,544873238
2016-12-21,527709961
2016-12-22,493737840
2016-12-23,474985113
2016-12-24,465302925
2016-12-25,496483639
2016-12-26,536381619
2016-12-27,547291157
2016-12-28,547883887
2016-12-29,550448149
2016-12-30,510202704
2016-12-31,473770281
